time,flow,temp,salt
1980-06-29 00:00:00,    0.000000,    4.881893,    0.000000
1980-06-30 00:00:00,    0.000000,    4.887642,    0.000000
1980-07-01 00:00:00,    0.000000,    4.893287,    0.000000
1980-07-02 00:00:00,    0.000000,    4.898378,    0.000000
1980-07-03 00:00:00,    0.000000,    4.904214,    0.000000
1980-07-04 00:00:00,    0.000000,    4.908615,    0.000000
1980-07-05 00:00:00,    0.000000,    4.913489,    0.000000
1980-07-06 00:00:00,    0.000000,    4.917390,    0.000000
1980-07-07 00:00:00,    0.000000,    4.921128,    0.000000
1980-07-08 00:00:00,    0.000000,    4.924524,    0.000000
1980-07-09 00:00:00,    0.000000,    4.926561,    0.000000
1980-07-10 00:00:00,    0.000000,    4.928201,    0.000000
1980-07-11 00:00:00,    0.000000,    4.931041,    0.000000
1980-07-12 00:00:00,    0.000000,    4.938315,    0.000000
1980-07-13 00:00:00,    0.000000,    4.949697,    0.000000
1980-07-14 00:00:00,    0.000000,    4.961296,    0.000000
1980-07-15 00:00:00,    0.000000,    4.967223,    0.000000
1980-07-16 00:00:00,    0.000000,    4.968947,    0.000000
1980-07-17 00:00:00,    0.000000,    4.970725,    0.000000
1980-07-18 00:00:00,    0.000000,    4.974202,    0.000000
1980-07-19 00:00:00,    0.000000,    4.977163,    0.000000
1980-07-20 00:00:00,    0.000000,    4.980521,    0.000000
1980-07-21 00:00:00,    0.000000,    4.986032,    0.000000
1980-07-22 00:00:00,    0.000000,    4.991237,    0.000000
1980-07-23 00:00:00,    0.000000,    4.994930,    0.000000
1980-07-24 00:00:00,    0.000000,    4.999888,    0.000000
1980-07-25 00:00:00,    0.000000,    5.007004,    0.000000
1980-07-26 00:00:00,    0.000000,    5.013069,    0.000000
1980-07-27 00:00:00,    0.000000,    5.019214,    0.000000
1980-07-28 00:00:00,    0.000000,    5.027204,    0.000000
1980-07-29 00:00:00,    0.000000,    5.034670,    0.000000
1980-07-30 00:00:00,    0.000000,    5.038498,    0.000000
1980-07-31 00:00:00,    0.000000,    5.040304,    0.000000
1980-08-01 00:00:00,    0.000000,    5.041554,    0.000000
1980-08-02 00:00:00,    0.000000,    5.043112,    0.000000
1980-08-03 00:00:00,    0.000000,    5.045046,    0.000000
1980-08-04 00:00:00,    0.000000,    5.046889,    0.000000
1980-08-05 00:00:00,    0.000000,    5.049884,    0.000000
1980-08-06 00:00:00,    0.000000,    5.057035,    0.000000
1980-08-07 00:00:00,    0.000000,    5.068766,    0.000000
1980-08-08 00:00:00,    0.000000,    5.076459,    0.000000
1980-08-09 00:00:00,    0.000000,    5.079345,    0.000000
1980-08-10 00:00:00,    0.000000,    5.081525,    0.000000
1980-08-11 00:00:00,    0.000000,    5.083842,    0.000000
1980-08-12 00:00:00,    0.000000,    5.086373,    0.000000
1980-08-13 00:00:00,    0.000000,    5.089516,    0.000000
1980-08-14 00:00:00,    0.000000,    5.091771,    0.000000
1980-08-15 00:00:00,    0.000000,    5.093492,    0.000000
1980-08-16 00:00:00,    0.000000,    5.095392,    0.000000
1980-08-17 00:00:00,    0.000000,    5.096962,    0.000000
1980-08-18 00:00:00,    0.000000,    5.099116,    0.000000
1980-08-19 00:00:00,    0.000000,    5.101967,    0.000000
1980-08-20 00:00:00,    0.000000,    5.103608,    0.000000
1980-08-21 00:00:00,    0.000000,    5.105116,    0.000000
1980-08-22 00:00:00,    0.000000,    5.106794,    0.000000
1980-08-23 00:00:00,    0.000000,    5.108300,    0.000000
1980-08-24 00:00:00,    0.000000,    5.110244,    0.000000
1980-08-25 00:00:00,    0.000000,    5.113777,    0.000000
1980-08-26 00:00:00,    0.000000,    5.117051,    0.000000
1980-08-27 00:00:00,    0.000000,    5.118671,    0.000000
1980-08-28 00:00:00,    0.000000,    5.119896,    0.000000
1980-08-29 00:00:00,    0.000000,    5.121451,    0.000000
1980-08-30 00:00:00,    0.000000,    5.123872,    0.000000
1980-08-31 00:00:00,    0.000000,    5.126385,    0.000000
1980-09-01 00:00:00,    0.000000,    5.128638,    0.000000
1980-09-02 00:00:00,    0.000000,    5.131692,    0.000000
1980-09-03 00:00:00,    0.000000,    5.135542,    0.000000
1980-09-04 00:00:00,    0.000000,    5.140421,    0.000000
1980-09-05 00:00:00,    0.000000,    5.145847,    0.000000
1980-09-06 00:00:00,    0.000000,    5.148974,    0.000000
1980-09-07 00:00:00,    0.000000,    5.150674,    0.000000
1980-09-08 00:00:00,    0.000000,    5.152264,    0.000000
1980-09-09 00:00:00,    0.000000,    5.154913,    0.000000
1980-09-10 00:00:00,    0.000000,    5.158201,    0.000000
1980-09-11 00:00:00,    0.000000,    5.160888,    0.000000
1980-09-12 00:00:00,    0.000000,    5.163308,    0.000000
1980-09-13 00:00:00,    0.000000,    5.164895,    0.000000
1980-09-14 00:00:00,    0.000000,    5.166182,    0.000000
1980-09-15 00:00:00,    0.000000,    5.167473,    0.000000
1980-09-16 00:00:00,    0.000000,    5.168933,    0.000000
1980-09-17 00:00:00,    0.000000,    5.171411,    0.000000
1980-09-18 00:00:00,    0.000000,    5.173977,    0.000000
1980-09-19 00:00:00,    0.000000,    5.176734,    0.000000
1980-09-20 00:00:00,    0.000000,    5.180910,    0.000000
1980-09-21 00:00:00,    0.000000,    5.185305,    0.000000
1980-09-22 00:00:00,    0.000000,    5.188501,    0.000000
1980-09-23 00:00:00,    0.000000,    5.190368,    0.000000
1980-09-24 00:00:00,    0.000000,    5.191787,    0.000000
1980-09-25 00:00:00,    0.000000,    5.193213,    0.000000
1980-09-26 00:00:00,    0.000000,    5.194541,    0.000000
1980-09-27 00:00:00,    0.000000,    5.196136,    0.000000
1980-09-28 00:00:00,    0.000000,    5.198253,    0.000000
1980-09-29 00:00:00,    0.000000,    5.199918,    0.000000
1980-09-30 00:00:00,    0.000000,    5.202250,    0.000000
1980-10-01 00:00:00,    0.000000,    5.206995,    0.000000
1980-10-02 00:00:00,    0.000000,    5.211309,    0.000000
1980-10-03 00:00:00,    0.000000,    5.214471,    0.000000
1980-10-04 00:00:00,    0.000000,    5.216724,    0.000000
1980-10-05 00:00:00,    0.000000,    5.218365,    0.000000
1980-10-06 00:00:00,    0.000000,    5.220717,    0.000000
1980-10-07 00:00:00,    0.000000,    5.224737,    0.000000
1980-10-08 00:00:00,    0.000000,    5.229814,    0.000000
1980-10-09 00:00:00,    0.000000,    5.234500,    0.000000
1980-10-10 00:00:00,    0.000000,    5.238157,    0.000000
1980-10-11 00:00:00,    0.000000,    5.240371,    0.000000
1980-10-12 00:00:00,    0.000000,    5.242362,    0.000000
1980-10-13 00:00:00,    0.000000,    5.244525,    0.000000
1980-10-14 00:00:00,    0.000000,    5.246912,    0.000000
1980-10-15 00:00:00,    0.000000,    5.249821,    0.000000
1980-10-16 00:00:00,    0.000000,    5.253313,    0.000000
