time,ShortWave,LongWave,AirTemp,RelHum,WindSpeed,Rain,Snow
2006-04-01 23:00:00,306.629919687907,307.799166361491,16.9591715494792,72.8631339875217,2.34244663296442,0,0
2006-04-03 00:00:00,304.809791564941,326.481246948242,19.6325037638347,71.4270541215924,2.39990149894641,0,0
2006-04-04 00:00:00,297.52995745341,334.322081247966,20.1229212443034,77.8874166861768,3.20080131454724,0,0
2006-04-05 00:00:00,307.372793833415,334.44750213623,20.5116694132487,79.2881057018177,3.59842880030975,0,0
2006-04-06 00:00:00,309.296622594198,330.777913411458,20.3891756693522,76.3696010267698,2.82548214203114,0,0
2006-04-07 00:00:00,311.646294911702,332.930828094482,21.2212501525879,70.3453558411328,2.95871429383824,0,0
2006-04-08 00:00:00,302.900414784749,345.439582824707,21.6954233805339,69.1708526682876,3.08378401969486,0,0
2006-04-09 00:00:00,278.074498176575,385.862503051758,23.9633422851563,71.7463899242935,4.66706351244648,0,0
2006-04-10 00:00:00,248.981707572937,386.801670074463,23.4783353169759,76.6956827409758,3.9441527480734,0.000365100000053644,0
2006-04-11 00:00:00,290.337376594543,335.554587046305,19.6504213968913,71.1272359253827,5.47390288495271,0,0
2006-04-12 00:00:00,194.280915896098,378.072916666667,22.20125096639,74.4417856048982,4.77430694920112,0,0
2006-04-13 00:00:00,212.872040430705,358.349169413249,20.3204259236654,77.9415933508485,5.51856606177323,0,0
2006-04-14 00:00:00,204.74808438619,366.25791422526,20.2579233805339,81.363067754911,6.20698684596455,0.000312099993228912,0
2006-04-15 00:00:00,266.520543416341,369.846252441406,21.8691701253255,75.7801281923664,6.9565725988643,0,0
2006-04-16 00:00:00,215.530044555664,370.218747456868,20.3350056966146,79.2178343635253,6.53956314973463,3.8600001425948e-05,0
2006-04-17 00:00:00,231.940293947856,364.810418446859,20.2395874023438,80.2274556327523,5.48020521953154,0,0
2006-04-18 00:00:00,226.508085250854,370.468334197998,20.7720848083496,75.4307565476637,3.24563099922614,5.73000013828278e-05,0
2006-04-19 00:00:00,162.77637386322,408.597914377848,22.5250043233236,78.6424113926825,3.1576926990401,0.00687710005242843,0
2006-04-20 00:00:00,206.359419504801,398.65082804362,21.3250111897787,77.5360204777618,3.37562648795009,0.00888610012084246,0
2006-04-21 00:00:00,209.506668726603,392.48957824707,21.705837504069,75.7171672148398,2.15268838612266,0.0061730997915729,0
2006-04-22 00:00:00,212.463375727336,395.969577789307,22.5829254150391,74.8743577702721,2.77932295066617,0.00761429993947968,0
2006-04-23 00:00:00,324.861830969652,344.024166107178,21.5908396402995,71.0319126174713,2.85663158473182,0.0001527000060305,0
2006-04-24 00:00:00,318.009624501069,351.510420481364,23.04500096639,64.0587621446493,2.96290764483757,0,0
2006-04-25 00:00:00,314.380911787351,363.291669209798,24.0320831298828,65.6795556623608,4.48008810074946,0,0
2006-04-26 00:00:00,301.237707098325,380.565002441406,24.9000043233236,72.2746969984396,6.024142080615,0,0
2006-04-27 00:00:00,314.55754450957,397.680419921875,25.7558405558268,72.769455757625,5.56742115810211,0.0465869999866554,0
2006-04-28 00:00:00,328.758080085119,333.298329671224,21.7866734822591,73.0757583566292,6.01438158115071,0,0
2006-04-29 00:00:00,335.113123297691,319.802922566732,20.295006052653,68.8688235647226,4.51776011765117,0,0
2006-04-30 00:00:00,331.396791696548,319.790832519531,19.1104230244955,65.663876302228,2.62059481623674,1.79999996908009e-06,0
2006-05-01 00:00:00,233.443789958954,383.637087504069,23.8775039672852,71.3144593594989,4.0565515884475,8.49000010639429e-05,0
2006-05-02 00:00:00,304.922627051671,429.901664733887,27.7604220072429,72.2686357856163,3.98157795171466,0,0
2006-05-03 00:00:00,353.617581923803,412.37416712443,28.6770899454753,70.445302378557,5.20379494252167,0,0
2006-05-04 00:00:00,324.830914735794,411.474583943685,28.1133412679037,72.5199617050822,4.00427024913048,0,0
2006-05-05 00:00:00,313.606040716171,433.13041305542,28.8575085957845,72.8164394275294,4.22001882151872,0,0
2006-05-06 00:00:00,179.860708872477,414.95666885376,26.7487553914388,76.1415139745855,3.32332506689545,0.000136200001928955,0
2006-05-07 00:00:00,261.522127469381,413.009170532227,27.228340403239,73.4134633221124,2.53380936660097,0.00404730004363228,0
2006-05-08 00:00:00,264.190584182739,432.242079416911,28.383753712972,73.5062982640228,1.63841874898982,0.000375,0
2006-05-09 00:00:00,334.112003485362,416.587080637614,28.230418141683,71.8246288685559,3.80580159681158,0.000367000013589859,0
2006-05-10 00:00:00,363.496290683746,391.247085571289,26.6283368428548,70.9175474411075,3.92186715110918,0,0
2006-05-11 00:00:00,359.291212240855,380.833333333333,25.0054260253906,71.083858562613,5.77592358462564,0,0
2006-05-12 00:00:00,297.332080841064,390.321250915527,25.2337585449219,73.7413137253761,5.12725737918143,0,0
2006-05-13 00:00:00,339.563789953788,390.107917785645,25.2887550354004,73.1339410768453,5.61561574843426,0,0
2006-05-14 00:00:00,350.149583448966,375.837083180745,24.0645868937175,74.0557444587456,4.82675865648106,0,0
2006-05-15 00:00:00,369.781123300393,372.289995829264,24.9370895385742,71.6974627031434,4.7140016279765,0,0
2006-05-16 00:00:00,316.887459675471,393.596669514974,25.9841768900554,73.5188569809629,4.0754063513391,0,0
2006-05-17 00:00:00,316.406747261683,404.902500152588,26.8420857747396,70.9586169905169,3.93783663057614,0.0131626996695995,0
2006-05-18 00:00:00,202.925709406535,422.331670125326,26.0116757710775,76.42451220083,3.45275593290877,0.0169968000787776,0
